50-10000-True-average score: 2.2289, std-dev: 1.3926681314815976
50-10000-False-average score: 1.39394, std-dev: 0.8594831679561853
75-10000-True-average score: 3.16546, std-dev: 1.277971305711604
75-10000-False-average score: 1.1510500000000001, std-dev: 0.6066697934901105
100-10000-True-average score: 2.56638, std-dev: 1.2126751024078957
100-10000-False-average score: 1.57896, std-dev: 0.9958785146793759
50-20000-True-average score: 2.48484, std-dev: 1.2271804931087629
50-20000-False-average score: 1.5337500000000002, std-dev: 0.8306829268740269
75-20000-True-average score: 2.08632, std-dev: 0.7154323941971503
75-20000-False-average score: 1.0638100000000001, std-dev: 1.070372290840902
100-20000-True-average score: 2.54388, std-dev: 1.7273887298462962
100-20000-False-average score: 1.73914, std-dev: 0.9165967212102241
50-50000-True-average score: 1.39394, std-dev: 0.7027040932474113
50-50000-False-average score: 0.71856, std-dev: 0.4723398098826733
75-50000-True-average score: 2.39132, std-dev: 0.9692125954150158
75-50000-False-average score: 1.07911, std-dev: 0.6113920517965539
100-50000-True-average score: 2.32143, std-dev: 1.0480050700153019
100-50000-False-average score: 2.30089, std-dev: 1.9655760340023594
