50-10000-True-average score: 1.76828, std-dev: 1.3619219448999271
50-10000-False-average score: 1.67664, std-dev: 1.2239240237857905
75-10000-True-average score: 1.95652, std-dev: 1.451289052149464
75-10000-False-average score: 1.44927, std-dev: 0.5916742479326498
100-10000-True-average score: 1.82609, std-dev: 0.8647185225391105
100-10000-False-average score: 1.6379299999999999, std-dev: 1.2492586522058238
50-20000-True-average score: 2.28396, std-dev: 1.0511816104851825
50-20000-False-average score: 1.7683, std-dev: 0.7300066057539784
75-20000-True-average score: 2.58992, std-dev: 0.9711423248479653
75-20000-False-average score: 1.95653, std-dev: 0.9692167491215666
100-20000-True-average score: 2.9565200000000003, std-dev: 1.243333527971388
100-20000-False-average score: 2.2608699999999997, std-dev: 0.7332900260697217
50-50000-True-average score: 2.51535, std-dev: 1.136769864572421
50-50000-False-average score: 1.8405, std-dev: 1.192429662495864
75-50000-True-average score: 3.07144, std-dev: 1.4696310490883229
75-50000-False-average score: 1.21431, std-dev: 0.48211575477264795
100-50000-True-average score: 1.9130399999999999, std-dev: 1.629391253880486
100-50000-False-average score: 1.45299, std-dev: 1.2772928407377848
