50-10000-True-average score: 2.68291, std-dev: 1.2262595995320258
50-10000-False-average score: 1.227, std-dev: 0.5784133470105959
75-10000-True-average score: 3.09352, std-dev: 1.075133079928041
75-10000-False-average score: 1.44927, std-dev: 0.5916742479326498
100-10000-True-average score: 2.84482, std-dev: 1.2225229757441052
100-10000-False-average score: 1.69644, std-dev: 0.8878619001724185
50-20000-True-average score: 2.16051, std-dev: 1.3094439077969955
50-20000-False-average score: 0.6666799999999999, std-dev: 0.7255908164309199
75-20000-True-average score: 3.26242, std-dev: 1.0140430286728468
75-20000-False-average score: 1.5714400000000002, std-dev: 1.2508395369155516
100-20000-True-average score: 3.0088600000000003, std-dev: 0.9513009352110053
100-20000-False-average score: 2.0, std-dev: 0.8249445449375503
50-50000-True-average score: 2.30302, std-dev: 0.7979238445978274
50-50000-False-average score: 0.48192, std-dev: 0.7405138108097647
75-50000-True-average score: 2.21429, std-dev: 0.9787743973970713
75-50000-False-average score: 1.1428800000000001, std-dev: 0.838436618952202
100-50000-True-average score: 2.65489, std-dev: 0.932819205360229
100-50000-False-average score: 1.06198, std-dev: 0.3731066001977332
